day;HH:MM:SS;gru
10;00:14:30;7.042
10;00:15:00;6.906
10;00:15:30;6.708
10;00:16:00;6.577
10;00:16:30;6.495
10;00:17:00;6.537
10;00:17:30;6.663
10;00:18:00;6.770
10;00:18:30;6.909
10;00:19:00;6.997
10;00:19:30;7.065
10;00:20:00;7.038
10;00:20:30;6.926
10;00:21:00;6.822
10;00:21:30;6.716
10;00:22:00;6.733
10;00:22:30;6.855
10;00:23:00;6.989
10;00:23:30;7.128
10;00:24:00;7.113
10;00:24:30;6.996
10;00:25:00;6.810
10;00:25:30;6.646
10;00:26:00;6.533
10;00:26:30;6.360
10;00:27:00;6.142
10;00:27:30;5.896
10;00:28:00;5.670
10;00:28:30;5.539
10;00:29:00;5.404
10;00:29:30;5.298
10;00:30:00;5.232
10;00:30:30;5.282
10;00:31:00;5.470
10;00:31:30;5.671
10;00:32:00;5.820
10;00:32:30;5.861
10;00:33:00;5.847
10;00:33:30;5.809
10;00:34:00;5.742
10;00:34:30;5.710
10;00:35:00;5.752
10;00:35:30;5.869
10;00:36:00;6.004
10;00:36:30;6.117
10;00:37:00;6.190
10;00:37:30;6.275
10;00:38:00;6.378
10;00:38:30;6.446
10;00:39:00;6.445
10;00:39:30;6.424
10;00:40:00;6.450
10;00:40:30;6.497
10;00:41:00;6.455
10;00:41:30;6.276
10;00:42:00;6.005
10;00:42:30;5.785
10;00:43:00;5.657
10;00:43:30;5.592
10;00:44:00;5.531
10;00:44:30;5.425
10;00:45:00;5.276
10;00:45:30;5.053
10;00:46:00;4.776
10;00:46:30;4.494
10;00:47:00;4.294
10;00:47:30;4.227
10;00:48:00;4.226
10;00:48:30;4.222
10;00:49:00;4.242
10;00:49:30;4.314
10;00:50:00;4.439
10;00:50:30;4.537
10;00:51:00;4.594
10;00:51:30;4.656
10;00:52:00;4.767
10;00:52:30;4.922
10;00:53:00;5.016
10;00:53:30;4.990
10;00:54:00;4.884
10;00:54:30;4.800
10;00:55:00;4.792
10;00:55:30;4.831
10;00:56:00;4.924
10;00:56:30;5.083
10;00:57:00;5.271
10;00:57:30;5.407
10;00:58:00;5.442
10;00:58:30;5.432
10;00:59:00;5.425
10;00:59:30;5.432
10;01:00:00;5.389
10;01:00:30;5.267
10;01:01:00;5.104
10;01:01:30;4.940
10;01:02:00;4.814
10;01:02:30;4.680
10;01:03:00;4.563
10;01:03:30;4.496
10;01:04:00;4.535
10;01:04:30;4.591
10;01:05:00;4.562
10;01:05:30;4.417
10;01:06:00;4.235
10;01:06:30;4.072
10;01:07:00;3.905
10;01:07:30;3.723
10;01:08:00;3.519
10;01:08:30;3.326
10;01:09:00;3.128
10;01:09:30;2.942
10;01:10:00;2.759
10;01:10:30;2.598
10;01:11:00;2.463
10;01:11:30;2.359
10;01:12:00;2.261
10;01:12:30;2.144
10;01:13:00;2.038
10;01:13:30;1.972
10;01:14:00;1.948
10;01:14:30;1.941
10;01:15:00;1.984
10;01:15:30;2.124
10;01:16:00;2.349
10;01:16:30;2.598
10;01:17:00;2.820
10;01:17:30;2.994
10;01:18:00;3.120
10;01:18:30;3.201
10;01:19:00;3.275
10;01:19:30;3.329
10;01:20:00;3.337
10;01:20:30;3.287
10;01:21:00;3.202
10;01:21:30;3.108
10;01:22:00;2.993
10;01:22:30;2.888
10;01:23:00;2.794
10;01:23:30;2.708
10;01:24:00;2.615
10;01:24:30;2.533
10;01:25:00;2.474
10;01:25:30;2.435
10;01:26:00;2.395
10;01:26:30;2.360
10;01:27:00;2.325
10;01:27:30;2.278
10;01:28:00;2.240
10;01:28:30;2.241
10;01:29:00;2.303
10;01:29:30;2.383
10;01:30:00;2.474
10;01:30:30;2.583
10;01:31:00;2.732
10;01:31:30;2.909
10;01:32:00;3.109
10;01:32:30;3.322
10;01:33:00;3.518
10;01:33:30;3.673
10;01:34:00;3.786
10;01:34:30;3.875
10;01:35:00;3.943
10;01:35:30;3.959
10;01:36:00;3.894
10;01:36:30;3.746
10;01:37:00;3.549
10;01:37:30;3.333
10;01:38:00;3.134
10;01:38:30;2.938
10;01:39:00;2.737
10;01:39:30;2.513
10;01:40:00;2.290
10;01:40:30;2.078
10;01:41:00;1.867
10;01:41:30;1.656
10;01:42:00;1.454
10;01:42:30;1.274
10;01:43:00;1.106
10;01:43:30;0.962
10;01:44:00;0.863
10;01:44:30;0.816
10;01:45:00;0.777
10;01:45:30;0.704
10;01:46:00;0.632
10;01:46:30;0.607
10;01:47:00;0.640
10;01:47:30;0.702
10;01:48:00;0.770
10;01:48:30;0.830
10;01:49:00;0.880
10;01:49:30;0.922
10;01:50:00;0.987
10;01:50:30;1.058
10;01:51:00;1.134
10;01:51:30;1.216
10;01:52:00;1.309
10;01:52:30;1.403
10;01:53:00;1.483
10;01:53:30;1.548
10;01:54:00;1.607
10;01:54:30;1.672
10;01:55:00;1.765
10;01:55:30;1.897
10;01:56:00;2.068
10;01:56:30;2.260
10;01:57:00;2.465
10;01:57:30;2.695
10;01:58:00;2.943
10;01:58:30;3.202
10;01:59:00;3.446
10;01:59:30;3.679
10;02:00:00;3.895
10;02:00:30;4.077
10;02:01:00;4.223
10;02:01:30;4.318
10;02:02:00;4.390
10;02:02:30;4.454
10;02:03:00;4.520
10;02:03:30;4.584
10;02:04:00;4.629
10;02:04:30;4.664
10;02:05:00;4.662
10;02:05:30;4.599
10;02:06:00;4.476
10;02:06:30;4.320
10;02:07:00;4.169
10;02:07:30;4.017
10;02:08:00;3.840
10;02:08:30;3.641
10;02:09:00;3.447
10;02:09:30;3.298
10;02:10:00;3.197
10;02:10:30;3.120
10;02:11:00;3.043
10;02:11:30;2.967
10;02:12:00;2.902
10;02:12:30;2.831
10;02:13:00;2.744
10;02:13:30;2.649
10;02:14:00;2.565
10;02:14:30;2.508
10;02:15:00;2.451
10;02:15:30;2.395
10;02:16:00;2.330
10;02:16:30;2.259
10;02:17:00;2.154
10;02:17:30;2.001
10;02:18:00;1.820
10;02:18:30;1.643
10;02:19:00;1.472
10;02:19:30;1.287
10;02:20:00;1.079
10;02:20:30;0.861
10;02:21:00;0.658
10;02:21:30;0.492
10;02:22:00;0.353
10;02:22:30;0.237
10;02:23:00;0.139
10;02:23:30;0.067
10;02:24:00;0.006
10;02:24:30;-0.067
10;02:25:00;-0.148
10;02:25:30;-0.207
10;02:26:00;-0.206
10;02:26:30;-0.133
10;02:27:00;-0.003
10;02:27:30;0.182
10;02:28:00;0.380
10;02:28:30;0.555
10;02:29:00;0.687
10;02:29:30;0.797
10;02:30:00;0.904
10;02:30:30;1.008
10;02:31:00;1.108
10;02:31:30;1.201
10;02:32:00;1.283
10;02:32:30;1.346
10;02:33:00;1.402
10;02:33:30;1.423
10;02:34:00;1.393
10;02:34:30;1.309
10;02:35:00;1.208
10;02:35:30;1.117
10;02:36:00;1.040
10;02:36:30;0.978
10;02:37:00;0.939
10;02:37:30;0.925
10;02:38:00;0.929
10;02:38:30;0.960
10;02:39:00;1.027
10;02:39:30;1.141
10;02:40:00;1.283
10;02:40:30;1.426
10;02:41:00;1.546
10;02:41:30;1.622
10;02:42:00;1.653
10;02:42:30;1.649
10;02:43:00;1.653
10;02:43:30;1.675
10;02:44:00;1.740
10;02:44:30;1.861
10;02:45:00;2.034
10;02:45:30;2.237
10;02:46:00;2.439
10;02:46:30;2.633
10;02:47:00;2.807
10;02:47:30;2.948
10;02:48:00;3.041
10;02:48:30;3.103
10;02:49:00;3.125
10;02:49:30;3.118
10;02:50:00;3.078
10;02:50:30;2.997
10;02:51:00;2.912
10;02:51:30;2.859
10;02:52:00;2.893
10;02:52:30;2.993
10;02:53:00;3.116
10;02:53:30;3.214
10;02:54:00;3.276
10;02:54:30;3.321
10;02:55:00;3.363
10;02:55:30;3.414
10;02:56:00;3.440
10;02:56:30;3.422
10;02:57:00;3.349
10;02:57:30;3.239
10;02:58:00;3.113
10;02:58:30;3.020
10;02:59:00;2.936
10;02:59:30;2.884
10;03:00:00;2.883
10;03:00:30;2.960
10;03:01:00;3.128
10;03:01:30;3.321
10;03:02:00;3.483
10;03:02:30;3.543
10;03:03:00;3.526
10;03:03:30;3.525
10;03:04:00;3.567
10;03:04:30;3.652
10;03:05:00;3.741
10;03:05:30;3.805
10;03:06:00;3.814
10;03:06:30;3.800
10;03:07:00;3.835
10;03:07:30;3.928
10;03:08:00;4.038
10;03:08:30;4.096
10;03:09:00;4.083
10;03:09:30;4.021
10;03:10:00;3.926
10;03:10:30;3.790
10;03:11:00;3.602
10;03:11:30;3.411
10;03:12:00;3.289
10;03:12:30;3.285
10;03:13:00;3.396
10;03:13:30;3.621
10;03:14:00;3.886
10;03:14:30;4.153
10;03:15:00;4.370
10;03:15:30;4.542
10;03:16:00;4.695
10;03:16:30;4.837
10;03:17:00;4.956
10;03:17:30;4.989
10;03:18:00;4.960
10;03:18:30;4.940
10;03:19:00;5.013
10;03:19:30;5.185
10;03:20:00;5.416
10;03:20:30;5.651
10;03:21:00;5.832
10;03:21:30;5.938
10;03:22:00;5.953
10;03:22:30;5.938
10;03:23:00;5.902
10;03:23:30;5.870
10;03:24:00;5.802
10;03:24:30;5.675
10;03:25:00;5.498
10;03:25:30;5.304
10;03:26:00;5.125
10;03:26:30;4.966
10;03:27:00;4.818
10;03:27:30;4.695
10;03:28:00;4.641
10;03:28:30;4.641
10;03:29:00;4.650
10;03:29:30;4.616
10;03:30:00;4.537
10;03:30:30;4.475
10;03:31:00;4.453
10;03:31:30;4.479
10;03:32:00;4.536
10;03:32:30;4.607
10;03:33:00;4.668
10;03:33:30;4.730
10;03:34:00;4.809
10;03:34:30;4.938
10;03:35:00;5.104
10;03:35:30;5.300
10;03:36:00;5.508
10;03:36:30;5.725
10;03:37:00;5.918
10;03:37:30;6.087
10;03:38:00;6.246
10;03:38:30;6.424
10;03:39:00;6.644
10;03:39:30;6.872
10;03:40:00;7.138
10;03:40:30;7.447
10;03:41:00;7.789
10;03:41:30;8.161
10;03:42:00;8.542
10;03:42:30;8.884
10;03:43:00;9.085
10;03:43:30;9.103
10;03:44:00;8.992
10;03:44:30;8.779
10;03:45:00;8.505
10;03:45:30;8.247
10;03:46:00;8.082
10;03:46:30;8.013
10;03:47:00;7.985
10;03:47:30;8.021
10;03:48:00;8.188
10;03:48:30;8.447
10;03:49:00;8.672
10;03:49:30;8.801
10;03:50:00;8.865
10;03:50:30;8.871
10;03:51:00;8.812
10;03:51:30;8.735
10;03:52:00;8.653
10;03:52:30;8.561
10;03:53:00;8.510
10;03:53:30;8.625
10;03:54:00;8.914
10;03:54:30;9.270
10;03:55:00;9.678
10;03:55:30;10.106
10;03:56:00;10.466
10;03:56:30;10.701
10;03:57:00;10.788
10;03:57:30;10.819
10;03:58:00;10.748
10;03:58:30;10.560
10;03:59:00;10.251
10;03:59:30;9.912
10;04:00:00;9.609
10;04:00:30;9.357
10;04:01:00;9.130
10;04:01:30;8.914
10;04:02:00;8.686
10;04:02:30;8.471
10;04:03:00;8.381
10;04:03:30;8.425
10;04:04:00;8.547
10;04:04:30;8.674
10;04:05:00;8.818
10;04:05:30;8.952
10;04:06:00;9.066
10;04:06:30;9.206
10;04:07:00;9.359
10;04:07:30;9.522
10;04:08:00;9.622
10;04:08:30;9.745
10;04:09:00;9.901
10;04:09:30;10.157
10;04:10:00;10.436
10;04:10:30;10.669
10;04:11:00;10.829
10;04:11:30;10.962
10;04:12:00;11.152
10;04:12:30;11.352
10;04:13:00;11.560
10;04:13:30;11.682
10;04:14:00;11.713
10;04:14:30;11.647
10;04:15:00;11.534
10;04:15:30;11.396
10;04:16:00;11.177
10;04:16:30;10.872
10;04:17:00;10.524
10;04:17:30;10.204
10;04:18:00;10.030
10;04:18:30;10.010
10;04:19:00;10.051
10;04:19:30;10.024
10;04:20:00;9.885
10;04:20:30;9.655
10;04:21:00;9.442
10;04:21:30;9.308
10;04:22:00;9.314
10;04:22:30;9.365
10;04:23:00;9.411
10;04:23:30;9.401
10;04:24:00;9.383
10;04:24:30;9.366
10;04:25:00;9.412
10;04:25:30;9.441
10;04:26:00;9.405
10;04:26:30;9.339
10;04:27:00;9.398
10;04:27:30;9.562
10;04:28:00;9.703
10;04:28:30;9.692
10;04:29:00;9.669
10;04:29:30;9.801
10;04:30:00;10.068
10;04:30:30;10.433
10;04:31:00;10.874
10;04:31:30;11.365
10;04:32:00;11.820
10;04:32:30;12.151
10;04:33:00;12.409
10;04:33:30;12.618
10;04:34:00;12.874
10;04:34:30;12.983
10;04:35:00;12.983
10;04:35:30;12.983
10;04:36:00;12.983
10;04:36:30;12.983
10;04:37:00;12.983
10;04:37:30;12.983
10;04:38:00;12.983
10;04:38:30;12.983
10;04:39:00;12.983
10;04:39:30;12.983
10;00:00:00;9.775
10;00:00:30;9.775
10;00:01:00;9.775
10;00:01:30;9.775
10;00:02:00;9.775
10;00:02:30;9.775
10;00:03:00;9.775
10;00:03:30;9.775
10;00:04:00;9.775
10;00:04:30;9.775
10;00:05:00;9.775
10;00:05:30;9.819
10;00:06:00;9.769
10;00:06:30;9.606
10;00:07:00;9.378
10;00:07:30;9.118
10;00:08:00;8.896
10;00:08:30;8.744
10;00:09:00;8.670
10;00:09:30;8.677
10;00:10:00;8.726
10;00:10:30;8.805
10;00:11:00;8.861
10;00:11:30;8.833
10;00:12:00;8.723
10;00:12:30;8.516
10;00:13:00;8.322
10;00:13:30;8.247
10;00:14:00;8.339
10;00:14:30;8.553
10;00:15:00;8.730
10;00:15:30;8.834
10;00:16:00;8.867
10;00:16:30;8.935
10;00:17:00;9.071
10;00:17:30;9.284
10;00:18:00;9.541
10;00:18:30;9.739
10;00:19:00;9.819
10;00:19:30;9.766
10;00:20:00;9.645
10;00:20:30;9.489
10;00:21:00;9.360
10;00:21:30;9.264
10;00:22:00;9.225
10;00:22:30;9.205
10;00:23:00;9.295
10;00:23:30;9.490
10;00:24:00;9.756
10;00:24:30;9.986
10;00:25:00;10.137
10;00:25:30;10.250
10;00:26:00;10.312
10;00:26:30;10.341
10;00:27:00;10.271
10;00:27:30;10.144
10;00:28:00;9.955
10;00:28:30;9.694
10;00:29:00;9.428
10;00:29:30;9.280
10;00:30:00;9.308
10;00:30:30;9.424
10;00:31:00;9.506
10;00:31:30;9.513
10;00:32:00;9.499
10;00:32:30;9.497
10;00:33:00;9.501
10;00:33:30;9.384
10;00:34:00;9.049
10;00:34:30;8.473
10;00:35:00;7.738
10;00:35:30;6.953
10;00:36:00;6.273
10;00:36:30;5.861
10;00:37:00;5.763
10;00:37:30;5.856
10;00:38:00;5.984
10;00:38:30;6.071
10;00:39:00;6.125
10;00:39:30;6.132
10;00:40:00;6.098
10;00:40:30;6.092
10;00:41:00;6.195
10;00:41:30;6.474
10;00:42:00;6.906
10;00:42:30;7.436
10;00:43:00;8.036
10;00:43:30;8.649
10;00:44:00;9.246
10;00:44:30;9.904
10;00:45:00;10.719
10;00:45:30;11.774
10;00:46:00;12.979
10;00:46:30;14.183
10;00:47:00;15.208
10;00:47:30;15.960
10;00:48:00;16.498
10;00:48:30;16.914
10;00:49:00;17.334
10;00:49:30;17.816
10;00:50:00;18.344
10;00:50:30;18.775
10;00:51:00;19.008
10;00:51:30;19.041
10;00:52:00;18.942
10;00:52:30;18.692
10;00:53:00;18.226
10;00:53:30;17.559
10;00:54:00;16.866
10;00:54:30;16.289
10;00:55:00;15.760
10;00:55:30;15.144
10;00:56:00;14.347
10;00:56:30;13.514
10;00:57:00;12.779
10;00:57:30;12.232
10;00:58:00;11.853
10;00:58:30;11.668
10;00:59:00;11.661
10;00:59:30;11.666
10;01:00:00;11.444
10;01:00:30;10.967
10;01:01:00;10.412
10;01:01:30;9.921
10;01:02:00;9.472
10;01:02:30;8.966
10;01:03:00;8.411
10;01:03:30;7.936
10;01:04:00;7.693
10;01:04:30;7.691
10;01:05:00;7.894
10;01:05:30;8.217
10;01:06:00;8.662
10;01:06:30;9.180
10;01:07:00;9.624
10;01:07:30;9.925
10;01:08:00;10.057
10;01:08:30;10.088
10;01:09:00;9.931
10;01:09:30;9.530
10;01:10:00;8.936
10;01:10:30;8.350
10;01:11:00;7.875
10;01:11:30;7.499
10;01:12:00;7.207
10;01:12:30;7.106
10;01:13:00;7.267
10;01:13:30;7.672
10;01:14:00;8.136
10;01:14:30;8.531
10;01:15:00;8.531
10;01:15:30;8.531
10;01:16:00;8.531
10;01:16:30;8.531
10;01:17:00;8.531
10;01:17:30;8.531
10;01:18:00;8.531
10;01:18:30;8.531
10;01:19:00;8.531
10;01:19:30;8.531
10;00:00:00;3.967
10;00:00:30;3.967
10;00:01:00;3.967
10;00:01:30;3.967
10;00:02:00;3.967
10;00:02:30;3.967
10;00:03:00;3.967
10;00:03:30;3.967
10;00:04:00;3.967
10;00:04:30;3.967
10;00:05:00;3.967
10;00:05:30;4.045
10;00:06:00;4.078
10;00:06:30;4.027
10;00:07:00;3.871
10;00:07:30;3.665
10;00:08:00;3.495
10;00:08:30;3.431
10;00:09:00;3.448
10;00:09:30;3.474
10;00:10:00;3.479
10;00:10:30;3.470
10;00:11:00;3.445
10;00:11:30;3.392
10;00:12:00;3.356
10;00:12:30;3.347
10;00:13:00;3.315
10;00:13:30;3.208
10;00:14:00;3.038
10;00:14:30;2.801
10;00:15:00;2.540
10;00:15:30;2.298
10;00:16:00;2.091
10;00:16:30;1.879
10;00:17:00;1.695
10;00:17:30;1.630
10;00:18:00;1.678
10;00:18:30;1.727
10;00:19:00;1.705
10;00:19:30;1.653
10;00:20:00;1.623
10;00:20:30;1.573
10;00:21:00;1.504
10;00:21:30;1.467
10;00:22:00;1.508
10;00:22:30;1.577
10;00:23:00;1.589
10;00:23:30;1.587
10;00:24:00;1.626
10;00:24:30;1.722
10;00:25:00;1.827
10;00:25:30;1.888
10;00:26:00;1.918
10;00:26:30;1.949
10;00:27:00;1.991
10;00:27:30;2.025
10;00:28:00;2.020
10;00:28:30;1.968
10;00:29:00;1.910
10;00:29:30;1.870
10;00:30:00;1.878
10;00:30:30;1.916
10;00:31:00;1.971
10;00:31:30;2.015
10;00:32:00;2.041
10;00:32:30;2.050
10;00:33:00;2.055
10;00:33:30;2.068
10;00:34:00;2.066
10;00:34:30;2.050
10;00:35:00;2.006
10;00:35:30;1.972
10;00:36:00;1.970
10;00:36:30;1.973
10;00:37:00;1.947
10;00:37:30;1.881
10;00:38:00;1.797
10;00:38:30;1.650
10;00:39:00;1.442
10;00:39:30;1.190
10;00:40:00;0.949
10;00:40:30;0.710
10;00:41:00;0.488
10;00:41:30;0.322
10;00:42:00;0.181
10;00:42:30;-0.004
10;00:43:00;-0.266
10;00:43:30;-0.547
10;00:44:00;-0.765
10;00:44:30;-0.874
10;00:45:00;-0.917
10;00:45:30;-0.926
10;00:46:00;-0.964
10;00:46:30;-0.998
10;00:47:00;-0.969
10;00:47:30;-0.825
10;00:48:00;-0.589
10;00:48:30;-0.291
10;00:49:00;0.102
10;00:49:30;0.583
10;00:50:00;1.110
10;00:50:30;1.606
10;00:51:00;2.044
10;00:51:30;2.390
10;00:52:00;2.634
10;00:52:30;2.821
10;00:53:00;2.973
10;00:53:30;3.076
10;00:54:00;3.101
10;00:54:30;3.074
10;00:55:00;3.036
10;00:55:30;3.054
10;00:56:00;3.129
10;00:56:30;3.230
10;00:57:00;3.292
10;00:57:30;3.294
10;00:58:00;3.229
10;00:58:30;3.112
10;00:59:00;2.901
10;00:59:30;2.596
10;01:00:00;2.229
10;01:00:30;1.854
